ulCounter,timestamp,fcnt,deui,gw,ftime,ft2d,etime,snr,rssi,ant,lsnr,rssic,rssis,lat,lon
1,1498555996434,1,'3238353550348101','0000000008060504',,,,-4,-116,,,,,,
1,1498555996574,1,'3238353550348101','7076fffffe01784d',,1742,wdzfqHL2cWjnSyo+74zdHQ==,-13,-120,0,-13,-107,-120,0,0
1,1498555996717,1,'3238353550348101','00000000080e00e5',,,,-12.5,-126,,,,,,
1,1498555996980,1,'3238353550348101','00000000080e0022',,,,-7.5,-125,,,,,,
1,1498555997130,1,'3238353550348101','0000000008060739',,,,-4.5,-119,,,,,,
2,1498556000378,2,'3238353550348101','0000000008060504',,,,-5,-115,,,,,,
2,1498556000480,2,'3238353550348101','7076fffffe01787f',,927,HCsBBGutrpcUhmgOH9Uz+g==,-15,-123,0,-15,-108,-123,0,0
2,1498556000656,2,'3238353550348101','00000000080e00e5',,,,-10.8,-124,,,,,,
2,1498556001063,2,'3238353550348101','00000000080e0022',,,,-5.8,-123,,,,,,
2,1498556001157,2,'3238353550348101','000000000806070e',,,,-12,-123,,,,,,
2,1498556001158,2,'3238353550348101','00000000080e00a3',,,,-13,-128,,,,,,
2,1498556001260,2,'3238353550348101','0000000008060739',,,,null,-116,,,,,,
3,1498556003921,3,'3238353550348101','0000000008060504',,,,-3,-110,,,,,,
3,1498556004027,3,'3238353550348101','7076fffffe01784d',,430,YGzrQa5FMYXb+6ZCTT8ptw==,-13,-118,0,-13,-105,-119,0,0
3,1498556004462,3,'3238353550348101','0000000008060739',,,,-8.8,-118,,,,,,
3,1498556004467,3,'3238353550348101','00000000080e0022',,,,-11,-123,,,,,,
4,1498556008642,4,'3238353550348101','0000000008060504',,,,-4.8,-117,,,,,,
4,1498556008726,4,'3238353550348101','7076fffffe01784d',,7,kP13JoT0ncpCD+h48GFiLQ==,-14,-121,0,-14,-107,-122,0,0
4,1498556009042,4,'3238353550348101','00000000080e00e5',,,,-10.2,-124,,,,,,
4,1498556009188,4,'3238353550348101','00000000080e0022',,,,-6.2,-124,,,,,,
4,1498556009300,4,'3238353550348101','0000000008060739',,,,-0.5,-117,,,,,,
4,1498556009349,4,'3238353550348101','000000000806070e',,,,-12.2,-125,,,,,,
5,1498556012423,5,'3238353550348101','0000000008060504',,,,-6,-119,,,,,,
5,1498556012557,5,'3238353550348101','7076fffffe017776',,1141,MCCDx5LXKXpEhFRscbC+Ow==,-13,-121,0,-13,-108,-122,0,0
5,1498556012797,5,'3238353550348101','00000000080e00e5',,,,-11.5,-125,,,,,,
5,1498556012984,5,'3238353550348101','00000000080e0022',,,,-7,-122,,,,,,
5,1498556013063,5,'3238353550348101','0000000008060739',,,,-1.2,-117,,,,,,
5,1498556013117,5,'3238353550348101','000000000806070e',,,,-12,-125,,,,,,
6,1498556016043,6,'3238353550348101','0000000008060504',,,,-2.8,-111,,,,,,
6,1498556016706,6,'3238353550348101','00000000080e0022',,,,-10.2,-122,,,,,,
6,1498556016760,6,'3238353550348101','0000000008060739',,,,-8.8,-116,,,,,,
7,1498556019179,7,'3238353550348101','0000000008060504',,,,-9.8,-118,,,,,,
7,1498556019282,7,'3238353550348101','0000000008060613',,,,-12,-129,,,,,,
7,1498556019305,7,'3238353550348101','7076fffffe017776',,,,-9,-119,0,-9,-110,,0,0
7,1498556019318,7,'3238353550348101','7076fffffe01787f',,-2190,uivheqs8JfOGQ0UQv/+p3g==,-12,-120,0,-12,-108,-121,0,0
7,1498556019984,7,'3238353550348101','00000000080e0022',,,,-10.2,-128,,,,,,
7,1498556020026,7,'3238353550348101','0000000008060739',,,,-3.5,-119,,,,,,
8,1498556022410,8,'3238353550348101','0000000008060504',,,,-8.8,-118,,,,,,
8,1498556022412,8,'3238353550348101','000000000806042f',,,,-11.5,-125,,,,,,
8,1498556022513,8,'3238353550348101','7076fffffe01787f',,-1786,Dxa3ObdORXL0VhJSHJFiuw==,-13,-121,0,-13,-108,-122,0,0
8,1498556022584,8,'3238353550348101','7076fffffe017776',,,,-10,-121,0,-10,-111,,0,0
8,1498556022970,8,'3238353550348101','00000000080e0022',,,,-9.8,-128,,,,,,
8,1498556023075,8,'3238353550348101','0000000008060739',,,,-2.5,-118,,,,,,
8,1498556023860,8,'3238353550348101','00000000080e00e5',,,,-3.8,-120,,,,,,
9,1498556027212,9,'3238353550348101','0000000008060504',,,,-3.2,-110,,,,,,
10,1498556032146,10,'3238353550348101','0000000008060504',,,,-4.8,-117,,,,,,
10,1498556032294,10,'3238353550348101','000000000806070e',,,,-13.2,-125,,,,,,
10,1498556032295,10,'3238353550348101','7076fffffe017776',,49,MEsNWSBeuqJ0mxhJaNTm3Q==,-13,-121,0,-13,-108,-122,0,0
10,1498556032456,10,'3238353550348101','00000000080e00e5',,,,-8,-123,,,,,,
10,1498556032824,10,'3238353550348101','00000000080e0022',,,,-7.8,-123,,,,,,
10,1498556032912,10,'3238353550348101','0000000008060739',,,,-6.2,-124,,,,,,
11,1498556036007,11,'3238353550348101','0000000008060504',,,,-3,-110,,,,,,
11,1498556036106,11,'3238353550348101','00000000080e0022',,,,-9.2,-120,,,,,,
11,1498556036616,11,'3238353550348101','0000000008060739',,,,-9.8,-116,,,,,,
12,1498556040719,12,'3238353550348101','0000000008060504',,,,-2.8,-111,,,,,,
12,1498556040845,12,'3238353550348101','00000000080e0022',,,,-6.2,-122,,,,,,
13,1498556044443,13,'3238353550348101','000000000806042f',,,,-12.2,-127,,,,,,
13,1498556044443,13,'3238353550348101','0000000008060504',,,,-8,-116,,,,,,
13,1498556044577,13,'3238353550348101','7076fffffe017776',,-1062,dnVCMeDzOK26x8nPyCAgQg==,-14,-123,0,-14,-109,-123,0,0
13,1498556044755,13,'3238353550348101','00000000080e00e5',,,,-6,-118,,,,,,
13,1498556045095,13,'3238353550348101','0000000008060739',,,,-3.2,-116,,,,,,
14,1498556047678,14,'3238353550348101','0000000008060504',,,,-5.5,-112,,,,,,
14,1498556047784,14,'3238353550348101','00000000080e0022',,,,-5.5,-121,,,,,,
14,1498556047794,14,'3238353550348101','7076fffffe01784d',,-793,7Q/HHpHKqeqaDxVcoz0TOQ==,-14,-119,0,-14,-105,-120,0,0
15,1498556052008,15,'3238353550348101','0000000008060504',,,,-3.2,-115,,,,,,
15,1498556052104,15,'3238353550348101','00000000080e0022',,,,-7,-124,,,,,,
15,1498556052129,15,'3238353550348101','7076fffffe017776',,-594,73tx+InIJJ3fQnBz4ydgbA==,-13,-121,0,-13,-108,-122,0,0
15,1498556052238,15,'3238353550348101','00000000080e00e5',,,,-8.5,-124,,,,,,
15,1498556052740,15,'3238353550348101','0000000008060739',,,,-7.5,-122,,,,,,
